Item Title,Publication Title,Publication Year,URL,in/out,use types,fulltext,additional use types,census,notes
Locally weighted linear combination in a vector geographic information system,Journal of Geographical Systems,2014,http://link.springer.com/article/10.1007/s10109-013-0194-3,in,main data source for new analysis,,,,
Local-scale spatial modelling for interpolating climatic temperature variables to predict agricultural plant suitability,Theoretical and Applied Climatology,2016,http://link.springer.com/article/10.1007/s00704-015-1461-7,in,main data source for new analysis,,,,http://dpipwe.tas.gov.au/agriculture/investing-in-irrigation
Long-range prediction of Indian summer monsoon rainfall using data mining and statistical approaches,Theoretical and Applied Climatology,2016,http://link.springer.com/article/10.1007/s00704-016-1862-2,in,main data source for new analysis,,,,
Macadamia domestication in Hawai鈥榠,Genetic Resources and Crop Evolution,2016,http://link.springer.com/article/10.1007/s10722-015-0328-1,in,Providing study background,,,,changed to background from main source after discussion
"Microplastic Ingestion by Wild and Cultured Manila Clams (Venerupis philippinarum) from Baynes Sound, British Columbia",Archives of Environmental Contamination and Toxicology,2016,http://link.springer.com/article/10.1007/s00244-016-0286-4,in,main data source for new analysis,,,,
Mothers鈥?views of their preschool child鈥檚 screen-viewing behaviour: a qualitative study,BMC Public Health,2016,http://link.springer.com/article/10.1186/s12889-016-3440-z,in,"ancillary data source for new analysis (e.g., as base map)",,,,
"Multi-element composition of soils of seasonal wetlands across North Dakota, USA",Environmental Monitoring and Assessment,2015,http://link.springer.com/article/10.1007/s10661-015-5013-5,in,"ancillary data source for new analysis (e.g., as base map)",,,,
"Neighborhood Social Capital in Relation to Late HIV Diagnosis, Linkage to HIV Care, and HIV Care Engagement",AIDS and Behavior,2017,http://link.springer.com/article/10.1007/s10461-016-1581-9,in,main data source for new analysis,,,,OpenDataPhilly.org
Online platform for applying space鈥搕ime scan statistics for prospectively detecting emerging hot spots of dengue fever,International Journal of Health Geographics,2016,http://link.springer.com/article/10.1186/s12942-016-0072-6,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,
"Ownership identity, strategy and performance: Business group affiliates versus independent firms in India",Asia Pacific Journal of Management,2017,http://link.springer.com/article/10.1007/s10490-016-9477-9,in,"used for result evaluation (e.g., as ground truth)",,,,
Proposal of New Objective Measures for Mining Association Rules: Cannibalization and Unexpectedness,Annals of Data Science,2014,http://link.springer.com/article/10.1007/s40745-014-0011-y,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,
Randomised feasibility trial of a teaching assistant led extracurricular physical activity intervention for 9 to 11 year olds: Action 3:30,International Journal of Behavioral Nutrition and Physical Activity,2014,http://link.springer.com/article/10.1186/s12966-014-0114-z,in,"ancillary data source for new analysis (e.g., as base map)",,,,
Rapid simultaneous screening of seven clinically important enteric pathogens using a magnetic bead based DNA microarray,World Journal of Microbiology and Biotechnology,2011,http://link.springer.com/article/10.1007/s11274-010-0442-3,in,aiding result interpreting,,,,
"Red tape, bribery and government favouritism: evidence from Europe","Crime, Law and Social Change",2017,http://link.springer.com/article/10.1007/s10611-017-9694-2,in,main data source for new analysis,,,,
Risk matrix approach useful in adapting agriculture to climate change,Climatic Change,2016,http://link.springer.com/article/10.1007/s10584-016-1732-z,in,main data source for new analysis,,,,
"School travel mode, parenting practices and physical activity among UK Year 5 and 6 children",BMC Public Health,2014,http://link.springer.com/article/10.1186/1471-2458-14-370,in,"ancillary data source for new analysis (e.g., as base map)",,,,
Sedentary time among spouses: a cross-sectional study exploring associations in sedentary time and behaviour in parents of 5 and 6聽year old children,BMC Research Notes,2015,http://link.springer.com/article/10.1186/s13104-015-1758-8,in,main data source for new analysis,,,,
Sedimentary macrofossil records reveal ecological change in English lakes: implications for conservation,Journal of Paleolimnology,2017,http://link.springer.com/article/10.1007/s10933-017-9941-7,in,"ancillary data source for new analysis (e.g., as base map)",,,,
Singapore鈥檚 Vehicle Quota System and its impact on motorcycles,Transportation,2017,http://link.springer.com/article/10.1007/s11116-017-9772-4,in,main data source for new analysis,,Providing study background,,multi-source
Spatial variation of different rain systems during El Ni帽o and La Ni帽a periods over India and adjoining ocean,Climate Dynamics,2017,http://link.springer.com/article/10.1007/s00382-017-3833-4,in,main data source for new analysis,,,,
The County Health Rankings: rationale and methods,Population Health Metrics,2015,http://link.springer.com/article/10.1186/s12963-015-0044-2,in,main data source for new analysis,,,,
The failure of the Stava Valley tailings dams (Northern Italy): numerical analysis of the flow dynamics and rheological properties,Geoenvironmental Disasters,2017,http://link.springer.com/article/10.1186/s40677-016-0066-5,in,main data source for new analysis,,,,
The Impact of 7-valent Pneumococcal Conjugate Vaccine on Invasive Pneumococcal Disease: A Literature Review,Advances in Therapy,2013,http://link.springer.com/article/10.1007/s12325-013-0007-6,in,aiding result interpreting,,,,
"The Importance of Regional, System-Wide and Local Spatial Scales in Structuring Temperate Estuarine Fish Communities",Estuaries and Coasts,2014,http://link.springer.com/article/10.1007/s12237-013-9720-2,in,aiding result interpreting,,,,
"The Influence of Community Areas, Neighborhood Clusters, and Street Segments on the Spatial Variability of Violent Crime in Chicago",Journal of Quantitative Criminology,2016,http://link.springer.com/article/10.1007/s10940-016-9313-x,in,main data source for new analysis,,,,
The political economy of the disability insurance: theory and evidence of gubernatorial learning,IZA Journal of Labor Policy,2014,http://link.springer.com/article/10.1186/2193-9004-3-16,in,main data source for new analysis,,,,
The social distributional hypothesis: a pragmatic proxy for homophily in online social networks,Social Network Analysis and Mining,2014,http://link.springer.com/article/10.1007/s13278-014-0216-2,in,"ancillary data source for new analysis (e.g., as base map)",,,,
The stability of geodemographic cluster assignments over an intercensal period,Journal of Geographical Systems,2016,http://link.springer.com/article/10.1007/s10109-016-0226-x,in,"ancillary data source for new analysis (e.g., as base map)",,,,
Towards cloud based big data analytics for smart future cities,Journal of Cloud Computing,2015,http://link.springer.com/article/10.1186/s13677-015-0026-8,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,Used Bristol open data is not in search terms. Edge case
Tropospheric ozone pollution in India: effects on crop yield and product quality,Environmental Science and Pollution Research,2017,http://link.springer.com/article/10.1007/s11356-016-8178-8,in,Providing study background,,,,
"Uncovering blind spots in urban carbon management: the role of consumption-based carbon accounting in Bristol, UK",Regional Environmental Change,2017,http://link.springer.com/article/10.1007/s10113-017-1112-x,in,main data source for new analysis,,,,
Vulnerability and Exposure to Crime: Applying Risk Terrain Modeling to the Study of Assault in Chicago,Applied Spatial Analysis and Policy,2016,http://link.springer.com/article/10.1007/s12061-015-9165-z,in,main data source for new analysis,,,,
